1135140801,15904.71,123868.02,8257.43,360201.59
1138803194,15370.44,123872.98,8290.83,348828.28
1142466400,16271.50,124239.41,8179.65,352834.84
1146128229,14719.22,121744.18,8221.90,354510.56
1149787362,16324.49,123870.38,8496.41,373452.78
1153450161,16334.41,116983.13,8565.45,386661.50
1157112824,15323.47,116308.30,8194.41,388612.34
1160774737,14837.83,114131.36,7965.10,397008.44
1164435241,15587.00,112527.98,7937.60,403167.41
1168096879,15466.27,110277.27,7909.16,404562.00
1171759727,16470.48,109437.59,7979.97,405745.97
1175421504,16574.45,108244.20,8133.39,396607.75
1179080776,15658.99,111709.88,7665.33,387052.75
