temps_ms,valeur
1488968,842.56
1490191,832.48
1491415,827.49
1492638,812.55
1493861,842.59
1495085,852.88
1496308,837.69
1497531,842.59
1498755,812.37
1499978,827.54
1501201,842.67
1502425,847.85
1503648,827.79
1504871,827.69
1506095,832.34
1507318,822.38
1508541,832.45
1509765,847.78
1510988,852.81
1512211,827.69
1513435,827.27
1514658,817.40
1515881,832.43
1517108,858.99
1518331,847.66
1519554,812.33
1520778,827.37
1522001,827.66
1523224,832.76
1524448,837.80
1525671,847.72
1526894,827.65
1528118,827.40
1529341,817.48
1530564,822.66
1531788,837.81
1533011,842.73
1534234,822.75
1535458,812.46
1536681,817.44
1537904,822.90
1539128,818.10
1540352,837.80
1541574,832.66
1542798,817.44
1544022,817.58
1545244,818.05
1546468,833.00
1547692,847.73
1548914,812.71
1550138,812.56
1551362,822.66
1552584,828.08
1553808,833.00
1555032,827.63
1556257,863.80
1557481,837.90
1558705,843.09
1559927,838.10
1561151,857.77
1562375,822.75
1563597,837.43
1564821,813.02
1566045,838.19
1567267,838.14
1568491,818.09
1569715,837.69
1570937,832.61
1572161,822.92
1573385,843.11
1574607,843.22
1575831,832.99
1577070,1054.83
1578294,878.72
1579516,837.91
1580740,837.91
1581964,838.10
1583187,843.19
1584410,828.10
1585634,828.08
1586857,827.72
1588080,832.44
1589304,837.84
1590528,833.11
1591751,833.12
1592974,828.08
1594198,822.80
1595424,848.88
1596647,833.14
1597871,833.10
1599094,837.91
1600318,848.07
1601541,817.44
1602764,817.54
1603988,812.84
1605211,828.08
1606434,823.11
1607658,832.66
1608881,802.11
1610104,817.48
1611328,832.55
1612552,822.95
1613774,822.78
1614998,827.47
1616222,807.42
1617444,822.51
1618668,817.72
1619892,828.07
1621115,808.10
1622338,817.59
1623562,797.46
1624785,797.59
1626008,812.55
1627232,812.93
1628455,822.86
1629678,792.93
1630902,797.46
1632125,787.42
1633349,792.52
1634575,854.06
1635799,813.11
1637022,812.43
1638245,807.54
1639469,807.48
1640692,797.88
1641916,802.87
1643139,822.93
1644362,802.59
1645586,797.46
1646809,802.46
1648032,792.63
1649256,792.93
1650480,807.95
1651702,802.64
1652926,797.66
1654150,802.46
1655372,787.43
1656596,787.80
1657820,817.75
1659042,782.81
1660266,802.75
1661490,792.47
1662712,792.52
1663936,797.59
1665160,787.91
1666383,802.96
1667606,777.89
1668830,802.64
1670053,787.32
1671276,792.58
1672500,797.79
1673726,868.76
1674950,788.08
1676173,792.58
1677396,797.53
1678620,782.76
1679843,782.87
1681067,792.88
1682290,782.79
1683514,772.85
1684737,777.55
1685960,787.57
1687184,777.69
1688407,787.92
1689630,787.96
1690854,783.12
1692078,782.86
1693300,767.87
1694524,772.61
1695748,767.77
1696970,768.00
1698194,787.91
1699418,793.17
1700640,792.72
1701864,777.59
1703088,772.50
1704311,772.54
1705534,798.23
1706758,787.95
1707981,782.91
1709204,782.61
1710428,777.37
1711651,787.76
1712878,799.03
1714101,792.84
1715324,792.94
1716548,772.74
1717771,772.70
1718994,767.65
1720218,767.62
1721442,758.11
1722664,778.09
1723888,762.67
1725112,772.76
1726334,757.58
1727558,752.75
1728782,762.93
1730006,787.96
1731228,772.92
1732452,782.74
1733676,767.74
1734899,762.82
1736122,752.88
1737346,772.92
1738569,767.87
1739792,777.85
1741016,757.81
1742239,752.76
1743462,762.85
1744686,768.07
1745909,762.76
1747133,772.93
1748356,752.99
1749579,762.54
1750803,762.65
1752029,809.01
1753252,792.94
1754476,772.88
1755700,762.68
1756922,747.72
1758146,757.95
1759370,768.05
1760592,773.15
1761816,772.92
1763040,752.98
1764263,752.84
1765486,767.39
1766710,757.78
1767933,768.00
1769156,767.99
1770380,767.91
1771603,757.76
1772827,742.76
1774050,753.02
1775273,767.94
1776497,772.92
1777720,772.92
1778944,757.86
1780167,727.80
1781390,742.76
1782614,762.99
1783837,753.21
1785061,758.11
1786284,757.98
1787507,762.85
1788731,737.75
1789954,743.07
1791180,829.02
1792404,773.06
1793628,757.76
1794850,732.65
1796074,742.73
1797298,763.05
1798520,763.22
1799744,768.00
1800968,762.98
1802191,747.78
1803414,742.76
1804638,743.01
1805861,773.07
1807084,768.11
1808308,753.19
1809531,752.98
1810754,742.68
1811978,732.98
1813201,763.12
1814425,753.25
1815648,773.09
1816871,767.88
1818095,747.83
1819318,722.92
1820541,743.00
1821765,733.27
1822989,758.00
1824211,757.96
1825435,758.30
1826659,762.79
1827881,752.97
1829105,753.25
1830332,788.99
1831556,757.96
1832778,738.19
1834002,753.21
1835226,768.27
1836448,753.47
1837672,758.03
1838896,747.83
1840119,742.96
1841342,758.22
1842566,748.46
1843789,773.08
1845012,753.06
1846236,747.74
1847459,762.84
1848683,748.22
1849906,778.34
1851129,773.13
1852353,758.09
1853576,752.98
1854799,747.93
1856023,748.26
1857247,753.13
1858469,763.31
1859693,758.29
1860917,763.00
1862139,752.99
1863363,768.09
1864587,758.28
1865810,773.26
1867033,763.26
1868257,783.11
1869484,794.02
1870706,753.37
1871930,773.33
1873154,768.34
1874377,768.31
1875600,778.17
1876824,748.33
1878047,768.07
1879270,743.37
1880494,783.49
1881717,763.44
1882941,763.20
1884164,753.08
1885387,748.00
1886611,763.30
1887835,763.43
1889057,768.34
1890281,778.13
1891505,758.15
1892727,743.08
1893951,758.23
1895175,768.19
1896398,758.39
1897621,768.34
1898845,753.25
1900068,757.90
1901291,753.08
1902515,758.05
1903738,783.18
1904962,758.49
1906185,768.46
1907408,768.28
1908635,808.90
1909859,753.33
1911081,768.42
1912305,773.34
1913529,758.38
1914752,753.23
1915975,748.01
1917199,768.19
1918423,753.36
1919645,768.42
1920869,763.42
1922093,768.30
1923315,758.22
1924539,758.05
1925763,763.18
1926986,763.42
1928209,788.74
1929433,763.40
1930656,778.26
1931879,783.01
1933103,747.99
1934326,773.40
1935550,788.83
1936773,783.49
1937996,798.68
1939220,768.03
1940444,763.32
1941666,768.34
1942890,778.32
1944114,793.50
1945336,793.59
1946560,788.56
1947787,814.25
1949010,793.45
1950233,788.45
1951457,803.79
1952680,803.87
1953904,808.48
1955127,798.76
1956350,818.20
1957574,793.77
1958797,803.86
1960020,828.94
1961244,819.07
1962468,823.89
1963691,813.60
1964914,803.57
1966138,813.76
1967362,823.97
1968584,823.98
1969808,843.77
1971032,813.62
1972254,803.37
1973478,793.62
1974702,823.73
1975925,808.78
1977148,813.53
1978372,798.38
1979595,798.20
1980819,798.52
1982042,793.55
1983265,788.63
1984489,808.17
1985712,773.26
1986938,824.39
1988162,798.45
1989386,803.31
1990608,778.05
1991832,762.95
1993056,763.26
1994278,798.31
1995502,778.31
1996726,768.22
1997949,772.75
1999172,758.05
2000396,753.27
2001619,778.34
2002842,763.20
2004066,748.11
2005289,743.07
2006513,748.06
2007736,773.29
2008960,763.09
2010183,747.98
2011406,737.87
2012630,738.06
2013853,738.19
2015077,748.15
2016300,748.15
2017523,727.72
2018747,737.96
2019970,728.20
2021193,743.18
2022417,733.28
2023641,732.91
2024863,717.85
2026090,768.94
2027314,753.32
2028537,743.06
2029760,738.06
2030984,722.88
2032207,723.14
2033430,743.12
2034654,738.19
2035877,718.12
2037101,703.11
2038324,707.97
2039597,1465.03
2040820,845.12
2042044,773.99
2043267,748.59
2044490,758.52
2045714,738.33
2046937,733.16
2048160,713.06
2049384,728.07
2050607,718.29
2051830,743.06
2053054,728.29
2054277,718.12
2055500,708.09
2056724,698.30
2057947,713.06
2059170,718.24
2060394,708.22
2061617,723.07
2062840,697.90
2064064,698.07
2065290,754.08
2066513,728.05
2067737,708.15
2068960,698.09
2070183,698.14
2071407,698.13
2072630,728.30
2073853,698.36
2075077,697.98
2076300,692.92
2077523,683.02
2078747,688.12
2079970,713.30
2081193,708.24
2082417,698.20
2083640,683.06
2084864,687.86
2086087,673.26
2087310,688.10
