Sechage capteurs le 26/06/2026
temps_ms,CapteurBrut1,CapteurBrut2,Reference45K,CapteurFiltre1,CapteurFiltre2,Reference45KFiltre
98296901,12564.35,11884.41,475236.68,12411.40,11778.65,475327.81
98915003,12624.27,11920.57,475076.28,12453.97,11807.04,475277.50
99533104,12674.44,11970.60,474815.59,12498.07,11839.75,475185.12
100151205,12728.15,12006.39,475407.31,12544.08,11873.08,475229.56
100769311,12781.96,12059.27,475338.12,12591.66,11910.32,475251.28
101387414,12845.12,12111.92,475414.90,12642.35,11950.64,475284.00
102005515,12897.73,12161.92,475165.37,12693.43,11992.89,475260.31
102623617,12967.42,12217.80,475224.31,12748.23,12037.87,475253.12
103241719,13019.42,12281.85,474655.96,12802.46,12086.67,475133.68
103859821,13084.93,12348.47,475087.71,12858.96,12139.03,475124.50
104477923,13160.88,12425.17,475552.15,12919.34,12196.26,475210.03
105096025,13231.05,12506.38,475111.71,12981.68,12258.28,475190.37
105714129,13300.26,12588.41,474922.18,13045.40,12324.31,475136.75
106332231,13372.99,12671.63,475667.28,13110.92,12393.77,475242.87
106950333,13447.41,12767.33,475690.00,13178.22,12468.49,475332.31
107568434,13527.52,12852.17,475836.18,13248.08,12545.22,475433.09
108186534,13608.07,12958.60,475346.53,13320.08,12627.90,475415.78
108804636,13691.75,13060.04,475408.75,13394.41,12714.33,475414.37
109422738,13774.38,13171.76,474354.71,13470.41,12805.81,475202.43
110040842,13859.59,13286.45,475494.75,13548.24,12901.94,475260.93
110658944,13955.47,13401.91,475297.37,13629.69,13001.94,475268.21
111277046,14049.88,13523.23,475303.53,13713.73,13106.20,475275.31
111895149,14134.78,13640.11,474871.18,13797.94,13212.98,475194.50
112513251,14236.53,13770.13,475884.40,13885.66,13324.41,475332.46
113131353,14328.08,13905.74,474721.00,13974.14,13440.68,475210.18
113749454,14432.93,14033.15,475697.81,14065.90,13559.17,475307.71
114367557,14543.30,14159.97,475282.81,14161.38,13679.33,475302.75
114985662,14647.52,14300.07,475699.12,14258.61,13803.48,475382.06
115603764,14769.81,14441.21,474826.18,14360.85,13931.02,475270.90
116221865,14876.38,14577.09,475424.09,14463.96,14060.24,475301.53
116839967,15006.76,14730.81,474859.62,14572.52,14194.35,475213.15
117458070,15124.98,14868.87,474828.75,14683.01,14329.26,475136.28
118076171,15264.41,15023.87,474996.87,14799.29,14468.18,475108.40
118694273,15397.61,15193.11,475724.40,14918.95,14613.17,475231.59
119312374,15541.67,15351.61,475108.62,15043.50,14760.86,475207.00
119930479,15686.10,15529.27,474937.46,15172.02,14914.54,475153.09
120548582,15825.61,15693.46,475266.56,15302.74,15070.32,475175.78
121166684,15981.94,15868.24,475338.28,15438.58,15229.91,475208.28
121784785,16126.31,16045.01,475020.84,15576.12,15392.93,475170.81
122402887,16288.97,16226.84,475663.09,15718.69,15559.71,475269.28
123020990,16440.91,16432.58,475715.28,15863.14,15734.29,475358.50
123639092,16614.69,16629.32,475423.40,16013.45,15913.29,475371.50
124257197,16800.42,16884.76,475396.37,16170.84,16107.58,475376.50
124875298,16986.00,17119.26,475464.56,16333.87,16309.92,475394.12
125493401,17159.10,17336.73,476219.25,16498.92,16515.28,475559.15
126111504,17324.34,17569.34,475280.40,16664.00,16726.09,475503.43
126729605,17488.96,17795.27,474848.84,16829.00,16939.93,475372.53
127347706,17636.23,18011.96,474968.59,16990.44,17154.34,475291.75
127965808,17799.91,18235.03,475584.00,17152.34,17370.48,475350.21
128583911,17949.59,18456.00,475302.43,17311.79,17587.58,475340.68
129202015,18115.59,18692.13,475431.56,17472.55,17808.49,475358.87
129820116,18260.41,18920.92,474434.25,17630.12,18030.98,475173.93
130438219,18412.41,19151.74,475727.87,17786.58,18255.13,475284.75
131056321,18575.72,19358.50,475751.46,17944.41,18475.80,475378.12
131674422,18733.85,19589.74,475557.62,18102.30,18698.59,475414.03
132292524,18892.91,19812.56,475731.18,18260.42,18921.39,475477.46
132910626,19064.67,20031.79,475918.84,18421.27,19143.47,475565.75
133528729,19214.70,20291.63,474629.25,18579.96,19373.10,475378.43
