id,capteur,raw,filtered,date
19607,a0,644.8049,644.3353,2026-05-10 15:56:15.697539
19608,a6,1022.366,1022.841,2026-05-10 15:56:16.000274
19609,a0,645.4634,645.121,2026-05-10 15:58:18.198230
19610,a1,515.4634,514.9255,2026-05-10 15:58:18.478850
19611,a2,570.1464,569.64,2026-05-10 15:58:18.926083
19612,a3,167.4634,167.5991,2026-05-10 15:58:19.289502
19613,a6,1022.951,1022.846,2026-05-10 15:58:19.544099
19614,a0,646.0,645.165,2026-05-10 16:00:21.999497
19615,a1,515.0488,514.9316,2026-05-10 16:00:22.413051
19616,a2,570.21707,570.1671,2026-05-10 16:00:22.882775
19617,a3,167.4878,167.5845,2026-05-10 16:00:23.163528
19618,a6,1023.0,1022.883,2026-05-10 16:00:23.521066
19619,a0,647.6097,646.87,2026-05-10 16:02:25.755634
19620,a1,516.5122,515.9852,2026-05-10 16:02:26.062100
19621,a2,571.1707,570.845,2026-05-10 16:02:26.380648
19622,a3,167.7073,167.6251,2026-05-10 16:02:26.657072
19623,a6,1022.659,1022.911,2026-05-10 16:02:26.920096
19624,a0,648.3171,647.5746,2026-05-10 16:04:29.279690
19625,a1,516.7317,516.5624,2026-05-10 16:04:29.550913
19626,a2,571.5854,571.5248,2026-05-10 16:04:29.815981
19627,a3,167.6585,167.6268,2026-05-10 16:04:30.114492
19628,a6,1022.683,1022.9,2026-05-10 16:04:30.418297
19629,a0,648.3171,647.6117,2026-05-10 16:06:32.826105
19630,a1,516.9512,516.5818,2026-05-10 16:06:33.130451
19631,a2,572.1464,572.1534,2026-05-10 16:06:33.619119
19632,a3,167.5122,167.6226,2026-05-10 16:06:33.897789
19633,a6,1023.0,1022.891,2026-05-10 16:06:34.369738
19634,a0,648.8049,648.4213,2026-05-10 16:08:36.596960
19635,a1,517.6342,517.1121,2026-05-10 16:08:36.884099
19636,a2,22.976,1022.914,2026-05-10 16:08:37.155089
19637,a0,651.9268,650.9129,2026-05-10 16:10:42.233769
19638,a1,519.0975,518.754,2026-05-10 16:10:42.553318
19639,a2,574.5366,574.0179,2026-05-10 16:10:42.840844
19640,a3,167.5854,167.5784,2026-05-10 16:10:43.141883
19641,a6,1022.805,1022.904,2026-05-10 16:10:43.454472
19642,a0,651.1951,650.927,2026-05-10 16:12:45.895414
19643,a1,519.4146,518.787,2026-05-10 16:12:46.198094
19644,a2,574.6097,574.0474,2026-05-10 16:12:46.463453
19645,a3,167.6585,167.5824,2026-05-10 16:12:46.741808
19646,a6,1022.781,1022.898,2026-05-10 16:12:47.059304
19647,a0,651.6585,650.9636,2026-05-10 16:14:49.491384
19648,a1,518.8536,518.7903,2026-05-10 16:14:49.748268
19649,a2,575.1464,574.5771,2026-05-10 16:14:50.026595
19650,a3,167.561,167.5804,2026-05-10 16:14:50.285719
