UnixTime;Station;MessageID;Sonde1;Sonde2;Sonde3;Sonde4;Sonde5;Sonde6;Sonde7;watermark
2313945145;WAOU1;94;428.68;40745748.00;82942.64;75261784.00;248246.52;49151472.00;74388296.00;115253860.00
2313941504;WAOU1;95;428.38;40152460.00;83811.34;77736880.00;252814.78;53829644.00;79366600.00;96580064.00
2313945145;WAOU1;96;430.84;40648820.00;84756.38;73000408.00;257469.64;56834032.00;75544768.00;99022680.00
2313941504;WAOU1;97;427.89;39914136.00;85860.30;76630792.00;263024.47;60158232.00;75599432.00;102197700.00
2313945145;WAOU1;98;429.16;41409348.00;87051.67;77202696.00;268861.06;62675160.00;74659408.00;102922070.00
2313941504;WAOU1;99;429.67;42130592.00;88352.04;74441296.00;275065.91;60622808.00;74494376.00;102407930.00
2313945145;WAOU1;100;430.36;40568140.00;89686.06;76975184.00;281060.84;61723012.00;68258720.00;130254430.00
2313941504;WAOU1;101;428.08;39115712.00;90959.98;72690552.00;287255.00;64295960.00;73846688.00;107592850.00
2313945145;WAOU1;102;428.68;39866808.00;92368.27;70774752.00;293029.06;65534648.00;74986288.00;97226816.00
2313941504;WAOU1;103;428.47;39727012.00;93643.41;73266640.00;298592.19;65534648.00;76451360.00;103656780.00
2313945145;WAOU1;104;427.59;40009128.00;94826.84;73904160.00;303826.47;68442104.00;75654184.00;106910770.00
2313941504;WAOU1;105;429.46;42428920.00;95960.59;75375816.00;309111.69;69231456.00;73904160.00;112211390.00
2313945145;WAOU1;106;428.28;40454780.00;97041.93;76056224.00;313882.69;72128432.00;74712800.00;105041860.00
2313941504;WAOU1;107;428.97;41159204.00;98030.21;72847688.00;319216.09;68258720.00;76687040.00;109669300.00
2313945145;WAOU1;108;427.69;41091064.00;98961.88;74932504.00;324406.91;74335360.00;73529640.00;93146272.00
2313941504;WAOU1;109;428.08;42358248.00;99953.92;74659408.00;330121.84;64458676.00;76283896.00;107592850.00
2313945145;WAOU1;110;429.16;42306684.00;100942.90;76975184.00;336320.28;66873276.00;76512944.00;104287490.00
2313941504;WAOU1;111;428.08;41460404.00;101879.13;76799776.00;342208.09;72634960.00;75207608.00;104715740.00
