2313941504;WAOU1;122;0.00:255.51:0.00:170.30:14.52:341.66:12.51:337.88
2313941563;WAOU1;123;0.00:244.89:0.00:237.10:8.73:325.26:18.41:384.26
2313941623;WAOU1;124;0.00:210.07:0.00:172.31:9.68:299.06:12.51:335.99
2313941683;WAOU1;125;0.00:362.08:0.94:238.16:12.51:335.99:9.68:333.99
2313941743;WAOU1;126;0.00:264.24:0.00:205.23:3.89:243.00:3.89:432.77
2313941802;WAOU1;127;0.00:271.09:0.00:224.59:9.68:252.67:6.84:441.50
2313941862;WAOU1;128;0.00:295.28:0.94:272.97:11.57:441.50:6.84:386.27
2313941922;WAOU1;129;0.00:194.49:0.94:211.01:15.46:337.88:5.90:282.65
2313941982;WAOU1;130;0.00:283.60:0.00:200.39:17.47:311.80:12.51:380.49
2313942042;WAOU1;131;0.00:226.59:0.00:218.80:6.84:339.77:10.62:441.50
2313942101;WAOU1;132;0.00:268.14:0.00:227.54:8.73:319.47:4.84:256.45
2313942161;WAOU1;133;0.00:281.71:0.00:207.24:20.30:305.90:14.52:421.20
2313942221;WAOU1;134;0.00:301.06:0.00:279.70:16.40:320.42:17.47:394.06
2313942281;WAOU1;135;0.00:296.22:0.00:187.88:9.68:313.69:5.90:338.83
2313942341;WAOU1;136;0.00:201.34:0.00:236.15:14.52:363.02:8.73:342.72
2313942400;WAOU1;137;0.00:275.81:0.00:271.09:13.57:272.03:8.73:330.09
2313942460;WAOU1;138;0.00:227.54:0.00:185.88:15.46:278.76:10.62:361.13
2313942520;WAOU1;139;0.00:268.14:0.00:228.48:7.79:341.66:11.57:363.02
2313942580;WAOU1;140;0.00:291.38:0.00:278.76:12.51:228.48:9.68:418.25
2313942640;WAOU1;141;0.00:211.01:2.01:249.84:7.79:322.30:2.01:322.30
2313942699;WAOU1;142;0.00:240.05:0.00:245.95:5.90:378.60:5.90:424.15
2313942759;WAOU1;143;0.00:248.78:0.00:238.16:8.73:340.72:9.68:409.52
2313942819;WAOU1;144;0.00:265.30:0.00:198.39:9.68:392.05:2.95:400.90
2313942879;WAOU1;145;0.00:243.94:0.00:254.56:3.89:272.03:14.52:395.00
2313942939;WAOU1;146;0.00:318.41:0.00:256.45:2.95:408.58:18.41:421.20
2313942998;WAOU1;147;0.00:195.55:0.00:224.59:5.90:300.12:7.79:366.92
2313943058;WAOU1;148;0.00:240.05:0.94:285.60:5.90:326.20:10.62:293.39
2313943118;WAOU1;149;0.00:322.30:0.00:263.30:6.84:291.38:8.73:328.21
2313943178;WAOU1;150;0.00:351.46:0.00:218.80:11.57:322.30:15.46:394.06
2313943238;WAOU1;151;0.00:259.40:0.00:192.60:4.84:331.16:24.19:415.30
2313943297;WAOU1;152;0.00:242.05:0.00:252.67:10.62:320.42:14.52:398.90
2313943357;WAOU1;153;0.00:287.49:0.00:224.59:17.47:252.67:11.57:389.22
2313943417;WAOU1;154;0.00:214.91:0.00:152.95:19.35:318.41:11.57:274.86
2313943477;WAOU1;155;0.00:251.73:0.00:288.55:22.31:305.90:11.57:296.22
2313943537;WAOU1;156;0.00:279.70:0.00:240.99:7.79:430.76:7.79:335.05
2313943596;WAOU1;157;0.00:277.81:0.00:230.37:12.51:276.87:11.57:275.81
2313943656;WAOU1;158;0.00:255.51:0.94:262.35:8.73:332.10:10.62:272.97
2313943716;WAOU1;159;0.00:304.01:0.00:296.22:12.51:288.55:14.52:390.16
2313943776;WAOU1;160;0.00:201.34:0.00:196.50:13.57:389.22:9.68:272.03
2313943836;WAOU1;161;0.94:316.52:0.00:302.01:10.62:279.70:16.40:351.46
2313943895;WAOU1;162;0.00:254.56:0.00:218.80:8.73:258.46:10.62:335.05
2313943955;WAOU1;163;0.00:294.33:0.00:191.66:5.90:325.26:9.68:292.45
2313944015;WAOU1;164;0.00:255.51:0.94:248.78:5.90:252.67:4.84:343.67
2313944075;WAOU1;165;0.00:278.76:0.94:245.95:15.46:221.64:2.01:464.75
2313944135;WAOU1;166;0.00:251.73:0.00:263.30:14.52:377.66:12.51:264.24
2313944194;WAOU1;167;0.00:315.58:0.00:181.98:15.46:331.16:13.57:316.52
2313944254;WAOU1;168;0.00:197.44:0.94:187.88:12.51:349.45:7.79:369.87
2313944314;WAOU1;169;0.00:274.86:0.00:258.46:13.57:335.05:5.90:424.15
2313944374;WAOU1;170;0.00:302.01:0.00:210.07:17.47:352.40:9.68:367.86
2313944434;WAOU1;171;0.00:240.99:0.00:213.85:8.73:304.96:6.84:376.59
2313944493;WAOU1;172;0.00:247.84:0.00:206.18:5.90:350.51:12.51:397.01
2313944553;WAOU1;173;0.00:269.20:0.00:195.55:13.57:357.24:17.47:361.13
2313944613;WAOU1;174;0.00:286.55:0.00:211.96:7.79:257.51:18.41:366.92
2313944673;WAOU1;175;0.00:260.35:0.00:191.66:13.57:333.99:13.57:368.80
2313944733;WAOU1;176;0.00:280.76:0.00:217.74:9.68:408.58:11.57:472.54
2313944792;WAOU1;177;0.00:319.47:0.00:225.53:3.89:367.86:11.57:426.04
2313944852;WAOU1;178;0.00:268.14:0.00:199.45:8.73:353.34:18.41:481.16
2313944912;WAOU1;179;0.00:273.92:0.00:258.46:16.40:466.76:16.40:321.36
2313944972;WAOU1;180;0.00:186.82:0.00:175.14:7.79:368.80:6.84:405.63
2313945032;WAOU1;181;0.00:275.81:0.00:202.28:14.52:287.49:2.01:358.18
2313945091;WAOU1;182;0.00:314.63:0.00:190.72:7.79:234.26:13.57:320.42
2313945151;WAOU1;183;0.00:298.11:0.00:276.87:9.68:264.24:10.62:366.92
2313945211;WAOU1;184;0.00:287.49:0.00:268.14:8.73:345.55:21.36:347.56
2313945271;WAOU1;185;0.00:280.76:0.00:237.10:12.51:317.47:6.84:258.46
2313945331;WAOU1;186;0.00:344.61:0.00:203.34:7.79:275.81:12.51:444.45
2313945390;WAOU1;187;0.00:209.13:0.00:253.62:15.46:373.76:14.52:408.58
2313945450;WAOU1;188;0.00:285.60:0.00:178.09:6.84:406.57:13.57:432.77
2313945510;WAOU1;189;0.00:279.70:0.00:272.97:8.73:302.01:8.73:333.04
2313945570;WAOU1;190;0.00:352.40:0.00:231.31:7.79:280.76:11.57:310.74
